,id,synopsis,rating,genre,director,writer,theater_date,dvd_date,runtime_in_minutes,main_genre,supporting_genre
1530,1968,"This holiday season, acclaimed filmmaker Cameron Crowe (Jerry Maguire, Almost Famous) directs an amazing and true story about a single dad who decides his family needs a fresh start, so he and his two children move to the most unlikely of places: a zoo. With the help of an eclectic staff, and with many misadventures along the way, the family works to return the dilapidated zoo to its former wonder and glory. -- (C) Official Site",PG,Comedy|Drama,Cameron Crowe,Aline Brosh McKenna|Cameron Crowe,2011-12-23,2012-04-03,126,Comedy,Drama
1532,1970,"Les (Corey Haim) is embarrassed when he fails his driving test in this routine teen comedy. His buddies are depending on him to provide the wheels for the weekend, but Les is more interested in his Saturday date with Mercedes (Heather Graham). Les secretly steals his grandfather's immaculate 1972 Cadillac for the adventure. The dream date soon turns into a nightmare when Dean (Corey Feldman) bothers Les with camera flashes and cigar smoke, and his sloppy-drunk date dances on the hood of the car with high heels. The car is towed when he parks illegally, and later the teens are chased by revved-up motorheads who challenge him to a race. Carol Kane and Richard Masur play Les' parents.",PG-13,Comedy,Greg Beeman,Michael Tolkin|Frank Deese|Neil Tolkin,1988-07-06,2005-05-03,90,Comedy,
1534,1972,Stephen Somers wrote and directed this,R,Action and Adventure|Mystery and Suspense|Science Fiction and Fantasy,Stephen Sommers,Stephen Sommers,1998-01-30,1998-10-13,106,Action and Adventure,Mystery and Suspense|Science Fiction and Fantasy
1535,1973,"Agency tackles the question of the efficiency of media manipulation. An unscrupulous advertising agency, in league with equally untrustworthy political campaign manager Robert Mitchum, plants subliminal messages in its TV commercials. Just as Vance Packard warned in the 1950s expose The Hidden Persuaders, these hidden messages persuade the viewers to vote for Mitchum's candidate. Given the potency of the the film's premise, it's disappointing to watch director George Kaczender handle the material (based on a novel by Paul Gottleib) is so cut-and-dried a fashion. But Mitchum is good, as are his costars Valerie Perrine, Lee Majors, Saul Rubinek and Alexandra Stewart.",R,Action and Adventure|Drama|Mystery and Suspense|Science Fiction and Fantasy|Special Interest,George Kaczender,Noel Hynd|Paul Gottlieb,2004-01-01,2005-08-02,94,Action and Adventure,Drama|Mystery and Suspense|Science Fiction and Fantasy|Special Interest
1536,1975,"The year is 1953. A visiting archaeologist called Varun Shrivastav comes to the village of Manikpur in West Bengal to excavate the temple grounds of the local Zamindar. With knowledge and experience beyond his young demeanour, Varun greatly impresses the Zamindar and his family. Especially Pakhi, the Zamindar's feisty and only daughter, who finds herself irrevocably drawn towards him. But Varun isn't all he seems on the surface. And as the simmering attraction between him and Pakhi leads to a tender and deep love, he is forced to choose between her and his past. Making his choice, Varun disappears. Pakhi struggles to move on with her life, determined to forget him and their relationship. Until one day, when he returns under the most extraordinary circumstances. Inspired from O. Henry's ""The Last Leaf"", Lootera is the uplifting story of two lovers. Of heartbreak, betrayal... and ultimate redemption.",NR,Drama|Romance,Vikramaditya Motwane,Vikramaditya Motwane|Bhavani Iyer|Anurag Kashyap,2013-07-03,2015-01-12,142,Drama,Romance
1537,1976,"Embrace of the Serpent features the encounter, apparent betrayal and finally life-affirming friendship between an Amazonian shaman (the last survivor of his people) and two foreign scientists.",NR,Action and Adventure|Art House and International,Ciro Guerra,Ciro Guerra|Jacques Toulemonde Vidal,2016-02-17,2016-06-21,123,Action and Adventure,Art House and International
1541,1980,"A band of renegades on the run in outer space get in more hot water than they anticipated in this sci-fi action-adventure adapted from the television series Firefly. In the 26th century, the galaxy has been colonized by a military force known as the Alliance, but its leadership has not gone unquestioned. The Alliance was once challenged by a league of rebels known as the Independents, but the Alliance emerged victorious after a brutal civil war, with the surviving Independents scattering around the galaxy. Also wandering the edges of the galaxy are the Reavers, who have won few allies due to their violent behavior and habit of ripping apart their enemies and eating them before they're dead. Capt. Malcolm ""Mal"" Reynolds (Nathan Fillion), who fought as an Independent in the galactic war, is the head of Serenity, a rogue frieghter ship whose crew includes Mal's first mate, Zoe (Gina Torres), who fought alongside him in the war, her husband, hotshot pilot Wash (Alan Tudyk), sunny but dependable mechanic Kaylee (Jewel Staite), and hard-nosed gunman Jayne (Adam Baldwin). The crew of Serenity wander the galaxy, taking on whatever work they can get, from criminal activities like smuggling and stealing to legitimately offering transport to travelers. Passengers aboard Serenity include professional ""companion"" Inara (Morena Baccarin) and holy man Shepherd Book (Ron Glass), but the real trouble aboard the ship comes with the arrival of Simon (Sean Maher) and his teenage sister, River Tam (Summer Glau). In time, the crew discovers that River has remarkable psychic powers and was being held captive by Alliance forces until Simon came to her rescue. Now the Alliance is hot on the heels of Serenity and its passengers, with The Operative (Chiwetel Ejiofor), a sinister Alliance tracker, leading the chase. Serenity was written and directed by Joss Whedon (in his directorial debut), creator of Firefly, which only lasted 11 weeks on the air but gained a powerful cult following who rallied to get the show released on DVD after its cancellation, leading to impressive home-video sales and and an eventual motion picture deal. A couple of months prior to Serenity's theatrical release, reruns of Firefly were picked up by the Sci-Fi channel, adding even more fans to its cult following.",PG-13,Action and Adventure|Science Fiction and Fantasy,Joss Whedon,Joss Whedon,2005-09-30,2005-12-20,119,Action and Adventure,Science Fiction and Fantasy
1542,1981,"Money, Fame and the Knowledge of English. In India, these 3 factors play a huge role in how society judges an individual. English Vinglish is the story of a woman who does not know English and is made to feel insecure by her family and society at large. The film is a light-hearted yet touching and transformational journey of Shashi. Circumstances make her determined to overcome this insecurity, master the language, teach the world a lesson on the way to becoming a self assured and confident woman. The film is shot mostly in New York and captures the inherent struggle of many people all over the world with the English Language. Hilarious, touching, sensitive, this film marks the come back of India's biggest female star...Sridevi. -- (C) Official Site",NR,Comedy|Drama,Gauri Shinde,Gauri Shinde,2012-10-05,2012-11-20,129,Comedy,Drama
1545,1985,"A woman who joins the undead against her will seeks vengeance against the ghouls who transformed her in this thriller. Sadie Blake (Lucy Liu) is a journalist who becomes acquainted with a group of beautiful but doomstruck partiers while following a story, led by the charismatic Bishop (James D'Arcy). While Sadie is taken with Bishop's good looks and sinister charm, she senses there's something dangerous about him, but it's not until she wakes up in the city morgue that she learns his secret -- Bishop is a vampire, and Sadie has joined his underlings as one of the undead. Angry and betrayed, Sadie is determined to stop Bishop and his compatriots, and she prowls the city with bow and arrow, ready to stake them from a distance when she spies them. Sadie finds an unlikely ally in her crusade in Detective Rawlins (Michael Chiklis), a police investigator whose daughter was transformed into a night creature by Bishop. However, Sadie is finding it increasingly difficult to resist her growing thirst for the blood of the living, becoming the sort of being she has grown to hate. Also featuring Carla Gugino, Robert Forster, and Nick Lachey, Rise: Blood Hunter received its world premiere with a special midnight screening at the 2007 Tribeca Film Festival.",R,Horror|Mystery and Suspense,Sebastian Gutierrez,Sebastian Gutierrez,2007-06-01,2007-10-09,98,Horror,Mystery and Suspense
1550,1990,"A hard-working Sicilian heads for Switzerland in search of a better life in this gentle, sweet-sour Italian comedy. Despite the poor fellow's best efforts to fit in with his neighbors, he never quite seems to make it.",R,Art House and International|Comedy|Drama,Franco Brusati,Nino Manfredi|Franco Brusati|Iaia Fiastri,1974-06-01,2005-05-02,112,Art House and International,Comedy|Drama
1552,1992,"The title character, played by John Turturro, is a Broadway playwright, based on Clifford Odets, lured to Hollywood with the promise of untold riches by a boorish studio chieftain (played by Michael Lerner as a combination of Louis B. Mayer and Harry Cohn). Despising the film capital and everything it stands for, Barton Fink comes down with an acute case of writer's block. He is looked after by a secretary (Judy Davis) who has been acting as a ghost writer for an alcoholic screenwriter (John Mahoney, playing a character based on William Faulkner). Also keeping tabs on Fink is a garrulous traveling salesman (John Goodman), the most likeable, stable character in the picture. And then comes the plot twist to end all plot twists, plunging Barton Fink into a surreal nightmare that would make Hieronymus Bosch look like a house painter. Once more, Ethan and Joel Coen serve up a smorgasbord of quirkiness and kinkiness, where nothing is what it seems and nothing turns out as planned.",R,Comedy|Drama,Joel Coen,Joel Coen|Ethan Coen,1991-08-21,2003-05-20,116,Comedy,Drama
